ad_id,campaign_name,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,location,device,keyword,ctr,roi
A1000,dataanalyticscourse,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,hyderabad,desktop,learn data analytics,0.023121387283236993,7.159392789373814
A1001,dataanalyticscourse,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,,hyderabad,mobile,data analytics course,0.033875073428627375,6.743036340158643
A1002,data anlytics corse,90.0,4544.0,203.66,26.0,9.0,0.1,1624.0,,hyderabad,desktop,data analitics online,0.019806338028169015,6.974074437788471
A1003,data analytcis course,142.0,3185.0,237.66,17.0,6.0,0.04225352112676056,1225.0,2024-11-26,hyderabad,tablet,data anaytics training,0.0445839874411303,4.154422283935033
A1004,data analytics corse,156.0,3361.0,195.9,30.0,8.0,0.05128205128205128,1091.0,2024-11-22,hyderabad,desktop,online data analytic,0.046414757512645045,4.569167942827973
A1005,dataanalyticscourse,195.0,3776.0,243.57,10.0,8.0,0.041025641025641026,1315.0,,hyderabad,mobile,data anaytics training,0.051641949152542374,4.3988586443322255
A1006,data analytics corse,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,,hyderabad,tablet,data analytics course,0.025892857142857145,5.896841751124943
A1007,data analytics corse,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,,hyderbad,tablet,analytics for data,0.03636363636363636,5.57201341404991
A1008,data analytics corse,113.0,5434.0,,27.0,4.0,0.058,1362.0,,hyderbad,tablet,data anaytics training,0.020794994479205006,
A1009,data analytcis course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,,hyderbad,mobile,online data analytic,0.04947839046199702,4.509155155798266
A1010,dataanalyticscourse,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,,hyderabad,desktop,learn data analytics,0.018707167994072977,7.023987499472106
A1011,data analytics corse,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,,hyderabad,desktop,online data analytic,0.027954608358704676,4.4295598693061695
A1012,data analytcis course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,,hydrebad,desktop,data analitics online,0.03835532371893219,9.240460010454782
A1013,data analytics corse,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,,hyderabad,mobile,data anaytics training,0.052378407268840195,6.8231948327388405
A1014,data analytcis course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,hyderbad,desktop,data anaytics training,0.041985618186035724,7.309471068129018
A1015,data analytcis course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,hyderabad,desktop,data analytics course,0.01867789782091192,7.7014725568942435
A1016,data analytcis course,193.0,5159.0,,15.0,9.0,0.047,1614.0,2024-11-10,hydrebad,mobile,learn data analytics,0.03741035084318666,
A1017,data anlytics corse,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,,hyderabad,mobile,learn data analytics,0.0336267208305123,7.162970106075217
A1018,data analytics corse,150.0,3113.0,217.41,20.0,5.0,0.03333333333333333,1785.0,,hyderabad,mobile,analytics for data,0.04818503051718599,7.210293914723334
A1019,data analytcis course,145.0,5278.0,,25.0,6.0,0.041,1516.0,2024-11-05,hyderabad,desktop,data analytics course,0.027472527472527472,
A1020,data analytcis course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,,hyderbad,tablet,learn data analytics,0.044412261646150135,6.769816390506046
A1021,data analytics corse,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,,hyderabad,tablet,data analitics online,0.041165142031776604,8.786679693860934
A1022,data analytcis course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,hyderabad,desktop,online data analytic,0.023520339309812992,5.258284415830335
A1023,data anlytics corse,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,,hyderabad,tablet,data analytics course,0.032424974129010006,5.308380762045445
A1024,dataanalyticscourse,87.0,3718.0,,12.0,3.0,0.034,1652.0,,hyderbad,tablet,learn data analytics,0.023399677245831092,
A1025,dataanalyticscourse,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,hyderabad,tablet,learn data analytics,0.026276500447894893,7.003518029903255
A1026,data anlytics corse,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,hyderbad,desktop,online data analytic,0.022355814390381364,7.041958041958042
A1027,data analytics corse,,5286.0,234.89,22.0,10.0,,1688.0,2024-11-21,hyderabad,desktop,data anaytics training,,6.18634254331815
A1028,data anlytics corse,128.0,5469.0,188.49,16.0,3.0,0.0234375,1783.0,2024-11-23,hyderbad,mobile,learn data analytics,0.02340464435911501,8.459387765929227
A1029,data analytcis course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,,hyderabad,mobile,analytics for data,0.025663980901223515,7.307045215562566
A1030,data analytics corse,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,hyderbad,tablet,online data analytic,0.03889118742242449,6.444517276898586
A1031,dataanalyticscourse,113.0,5065.0,212.37,11.0,5.0,0.04424778761061947,1111.0,,hyderabad,desktop,online data analytic,0.022309970384995065,4.231435701841126
A1032,data analytcis course,,3872.0,244.38,20.0,4.0,,1041.0,,hyderabad,tablet,data analitics online,,3.2597593911122025
A1033,data analytics corse,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,,hyderbad,tablet,data analytics course,0.03194772190960247,6.289313269960356
A1034,data analytcis course,121.0,5610.0,214.96,23.0,8.0,0.06611570247933884,,2024-11-25,hyderabad,mobile,data analytics course,0.021568627450980392,
A1035,dataanalyticscourse,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,,hyderabad,desktop,data anaytics training,0.019715639810426542,6.713125845737483
A1036,data anlytics corse,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,hyderabad,desktop,data anaytics training,0.02458326317561879,6.5463153561136265
A1037,data analytcis course,123.0,5131.0,,19.0,5.0,0.041,1307.0,,hydrebad,mobile,learn data analytics,0.02397193529526408,
A1038,data analytcis course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,,hyderabad,mobile,online data analytic,0.015554787417905289,7.625664388762338
A1039,data analytcis course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,hydrebad,mobile,learn data analytics,0.03973048327137547,6.408753439592958
A1040,data analytics corse,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,,hyderbad,mobile,data anaytics training,0.016939989187240944,6.996367253384077
A1041,data analytics corse,112.0,4271.0,196.07,27.0,6.0,0.05357142857142857,1209.0,2024-11-14,hyderabad,desktop,data analitics online,0.026223366892999297,5.16616514510124
A1042,data analytcis course,113.0,4418.0,191.55,27.0,10.0,0.08849557522123894,1634.0,,hyderbad,mobile,data analytics course,0.02557718424626528,7.530409814669799
A1043,data anlytics corse,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,,hydrebad,desktop,data analitics online,0.038968019349637194,9.831721470019342
A1044,dataanalyticscourse,197.0,5783.0,204.46,23.0,6.0,0.030456852791878174,1729.0,,hydrebad,tablet,data anaytics training,0.03406536399792495,7.456421793993934
A1045,dataanalyticscourse,109.0,4866.0,236.78,27.0,5.0,0.045871559633027525,1585.0,,hyderabad,mobile,online data analytic,0.02240032881216605,5.693977531886139
A1046,data anlytics corse,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,,hyderabad,desktop,data anaytics training,0.032098343862045416,4.843573414656023
A1047,data analytics corse,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,hyderbad,mobile,analytics for data,0.02782676856750931,6.838530542503205
A1048,data analytcis course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,hydrebad,mobile,online data analytic,0.036105738233397806,4.675967447267896
A1049,data analytcis course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,,hyderbad,mobile,learn data analytics,0.031214528944381384,5.123925098448926
A1050,data analytcis course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,,hydrebad,mobile,analytics for data,0.03233411923206467,4.906803762852767
A1051,data analytics corse,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,hyderabad,tablet,analytics for data,0.025621511922881784,7.4502952279547
A1052,data analytics corse,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,hyderabad,mobile,online data analytic,0.0473604826546003,4.412534289934586
A1053,data anlytics corse,113.0,4945.0,187.66,15.0,10.0,0.08849557522123894,1564.0,,hyderabad,tablet,learn data analytics,0.022851365015166835,7.334221464350421
A1054,data analytcis course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,,hyderabad,desktop,learn data analytics,0.030322173089071383,8.696660718837624
A1055,data analytcis course,125.0,4223.0,183.68,15.0,6.0,0.048,1267.0,2024-11-05,hyderabad,desktop,data analitics online,0.029599810561212407,5.897865853658536
A1056,data analytcis course,104.0,4798.0,210.1,18.0,3.0,0.028846153846153848,1340.0,,hyderabad,desktop,analytics for data,0.021675698207586493,5.377915278438839
A1057,data anlytics corse,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,hydrebad,mobile,data anaytics training,0.03430592396109638,7.111995397449419
A1058,dataanalyticscourse,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,,hyderbad,desktop,data analitics online,0.02801556420233463,3.8022598870056497
A1059,data analytics corse,179.0,3025.0,238.81,17.0,3.0,0.017,,2024-11-11,hyderabad,mobile,data analitics online,0.059173553719008266,
A1060,data analytics corse,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,,hyderbad,tablet,data analytics course,0.031782500478652116,5.423903878583475
A1061,data analytcis course,166.0,5089.0,,26.0,7.0,0.042,1946.0,,hyderbad,tablet,analytics for data,0.03261937512281391,
A1062,data anlytics corse,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,,hyderabad,desktop,analytics for data,0.023524720893141945,7.971660711663649
A1063,dataanalyticscourse,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,,hyderabad,mobile,data analytics course,0.05114735969035112,7.829614969413458
A1064,data analytcis course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,,hyderabad,tablet,data analytics course,0.030818278427205102,4.809593587036159
A1065,data analytics corse,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,hyderabad,desktop,online data analytic,0.022053909556694142,5.879660371196866
A1066,dataanalyticscourse,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,,hyderabad,mobile,analytics for data,0.038730015762215714,7.007053078940229
A1067,data analytcis course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,hyderbad,desktop,data analitics online,0.023995826812728223,5.714881221435387
A1068,data analytcis course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,,hyderbad,desktop,learn data analytics,0.02081268582755203,4.494833916830331
A1069,dataanalyticscourse,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,hydrebad,desktop,learn data analytics,0.02509105625252934,6.988694459453843
